comment,sentiment
هزینه اش زیاده,unsatisfied
دکتر خوبی است فقط نوبت دهی خیلی سختاست,unsatisfied
یکم تازه کار هستند . اما خوبه کارشون .,unsatisfied
اصلا توصیه نمیکنم . مشکل واریس داشتیم ، که در وسط درمان ترجیح دادیم ادامه ندهیم و مراجعه به پزشک دیگر کردیم . ایشان &quot; هدفشان تجارت هست ، نه طبابت &quot; . عوارض کار ایشان هنوز هم برایمان باقی ست متاسفانه .,unsatisfied
نوبت گرفتنش خیلی سخته,unsatisfied
اصلا امکان تماس گرفتن با مطب نیست یا جواب نمیدن یا اشغال !!!!!,unsatisfied
برای تشکیل پرونده بارداری رفتم از نظر علمی ایشون در سطح خوبی هستن ولی به نظرم در رابطه برقرار کردن بابیمار ضغیف هستن بیمار احساس راحتی نداره,unsatisfied
دکتر خوبیه فقط نوبت گرفتنش دردسر,unsatisfied
۶سال پیش بعد عمل فتق ، به من سوند نزدند ، و از بیمارستان مرخص شدم بدون اینکه بتونم ادرار کنم بعد از ۶سال هنوز من درگیر درمان مثانم هستم هرروز سوزش مثانه دارم و متاسفانه هنوز سالم نشدم,unsatisfied
من سال 98 مراجعه داشتم و خداروشکر که همون اول تکلیفم با این مرکز مشخص شد که اصلا انتخاب خوبی نمیتونه باشه . درخواست مشاور کردم ، خانم شیرانی مشاور مرکز رو به ما معرفی کردن که به همه چی شبیه بود جز مشاور . ادب و نزاکت که ارزونیشون ، اطلاعات ما هم که از ایشون بیشتر بود . در آخر هم که دیدن نمیتونن جوابگوی سوالات ما باشن گفتن اگه انتظار صبوری و گرفتن پاسخ همه سوالات خودتون رو دارین بهتر به مراکز دیگه ای مراجعه کنید که در این مرکز این امکان برای شما وجود نداره و دکتر هم وقت نداره که با شما بشینه و صحبت کنه و سوالاتتون رو جواب بده . اگه میخواین مدارک میدین و ایشون بررسی میکنن و دستیارهای ایشون تماس میگیرن و روش درمان و هزینه رو اعلام می کنن !!! آخه پیش خودتون چی فکر میکنین ، که مراجعین به مرکز شما شعور ندارن ، سواد ندارن ، اطلاعات ندارن ؟!!! بد نیست به اون مشاور بگید دوتا مطلب بخونه که بتونه درست مردم رو راهنمایی کنه و اگه یکی اومد چهارتا سوال پرسید به جای اینکه نگاهش کنه بتونه جواب بده . آخه من موندم چه بررسی با مدارک پزشکی ما میکنین !!!! شما که فقط یه روش اونم IVF تو بیمارستان عرفان انجام میدین دیگه چه بررسی و روش پیشنهادی میخواین بدین ؟!!! حتما یه سری دارو هم خودتون وارد کردین که برای هرکی به فراخور وضعیت مالیش تجویز میکنید که دست خالی از اونجا بیرون نره !!! دوستان لطفا قبل از مراجعه به چنین مرکز افتضاحی یه خورده تامل کنید و یه چندتا مقاله و سایت رو مطالعه بفرمایید . امیدوارم که پای هیچکدام از شما عزیزان به چنین جاهایی باز نشه و پولی که قراره به جیب اینا بریزین خرج دل خوشی های خودتون و خانواده کنید .,unsatisfied
8 ساله بیمارشون هستم واسه تزریق لب و ازشون خیلی راضیم اما امسال دور لبم لکهای سفید اومده که خیلی نگرانم کرده,unsatisfied
کارشون عالی ولی کم تند اخلاق,unsatisfied
دیسک کمر و نتیجه ایی حاصل نشد,unsatisfied
اسهال شدید دارم وهنوز درمان نشدم,unsatisfied
افسردگی ولی فعلا نیجه نگرفتم,unsatisfied
والا نتیجه مطلوبی نگرفتم,unsatisfied
دیسک کمر ولی دکتر درست با آدم حرف نمیزنه,unsatisfied
اصلا پیشنهاد نمی کنم بسیار رفتار منشی های مطب بد بود ، ویزیت رایگان نیست ! بعد از ویزیت هم با قیمت های دو برابر مواجه می شوید .,unsatisfied
از دکتر صمدی خواه راضی نیستم .,unsatisfied
9 روز پیش جراحی باز اپاندیس داشتم که انجام شد عملم . جراحیم بدون مشکل بود . امروز توی مطبشون بهم ساعت 5 نوبت دادن برای کشیدن بخیه و من بهشون گفته_بودم که جراحی کردم و درد دارم و نمیتونم زیاد منتظر بمونم ولی ایشون ساعت 5 که مراجعه کردم نبودن توی مطب و تماس ک گرفتم گفتن 5.5 میرسن . وقتیم که رسیدن منشیشون رفتار بدی داشتن که چرا من بهشون گفتم من که جراحی کردم رو معطل کردن و خودشونم رفتار بدی داشتن و بهم گفتن به من ربطی نداره وقت شناسی ایشون و بعد از کشیدن بخیه ازشون خواستم که برام گواهی بنویسن و اولش گفتن نمینویسن و بعد که دوباره گفتم برام 12 روز نوشتن . من مهارتهای ایشونو زیر سوال نمیبرم ولی وقت نشناسی و عدم قبول اشتباهشون و این که به مریضی که جراحی کرده و بخیه داره اهمیت نمیدن که معطل بمونه ( اونم توی راه پله ها ، چون منشیشون هم با خودشون اومدن ) غیرقابل توجیه و وقیحانه و دوراز ادبه,unsatisfied
ارتروز گردن خوب نشدم,unsatisfied
برای رفع جای جوش مراجعه کرده_بودم ، ایشون بدون توضیح چگونگی و مراحل و عوارضی که پیلینگ TCA قراره رو صورتم داشته باشه اقدام به پیلینگ با اسید روی صورتم کردند ( بدون توضیح اینکه قراره۲ماه صورت من زخم باشه ) البته بعد از انجام پیلینگ گفتن که قراره زخم بشه و تا یه هفته خوب میشه ! اگه قبلا توضیح میدادن درباره این روش اصلا قبول نمیکردم . جدا از درد و عذابی و مشکلات ناشی از این کار ، که در طول این مدت کشیدم ، جای سوختگی ناشی از پیلینگ ایشون به مراتب بدتر از جای جوشم روی صورتم باقی موند !,unsatisfied
سلام رضایت نسبی وقتها ویزیت منظم نیست سر ساعت نیست,unsatisfied
ایشان برای مریضهای پیوند خیلی وقت می گذارند ولی برای بیماران دیگر کلیوی که سایر مشکلات ازجمله نارسایی های کلیه هستند خیلی دقت و وسواس ندارند,unsatisfied
برای اولین بار نتیجه هی حاصل نشد,unsatisfied
اقا من مدتها میخواهم برای خواهرم نوبت بگیرم موفق نمیشوم .,unsatisfied
10 سال هست پیششون میرم وسواس فکری دارم هنوز درمان نشدم,unsatisfied
بابت تورم غددلنفاوی گردن به ایشان مراجعه نمودم . انچه درجلسه اول توجهم راجلب نموداین بودکه درابتدابنده رادعوت به حوصله وناامیدنشدن جهت طی نمودن پروسه درمان نمودند . درمراجعه بعدی باتوجه به احتمال وجودبیماری خاص باصراحت ازمن خواستن زمان روازدست ندم واین صداقت وروراستی بامریضشون برای بنده بسیارارزشمنده . وازایشان بسیارممنونم . . فقط نمیدونم تاچه اندازه گفتنش درسته ولی درمرحله بیوپسی احساس میکنم پیشنهادبیوپسی بازکمی تهاجمی بودهرچندایشان انتخاب نوع بیوپسی روبه خودم واگذارنمودندکه باتوجه به اینکه من شناختی درمورداحتمالات بیماریم نداشتم تصمیم گیری روبرام سخت کرد .,unsatisfied
کارشون خوبه و رضایت بخشه . دختر من آلرژی غذایی داره که پنج ساله تحت درمانه فقط داروها و تستهای آلرژی خیلی گرونه . مخارجش از عهده هر خونواده ای برنمیاد .,unsatisfied
از خدمات اخلاق ایشان راضی هستم ولی دکتر جمشید وفا به بنده ضرر رساند,unsatisfied
من را عمل میکروادنوم هیپوفیز کرد . توی کارش خیلی حرفه ایه . ایرادش اینه خیلی توضیح نمیده .,unsatisfied
از دکتر محمد جواد پورلک راضی نیستم,unsatisfied
از دکتر رجبی راضی نیستم .,unsatisfied
من از دکتر علیرضا فتورچی راضی نیستم .,unsatisfied
راضی نیستم ،,unsatisfied
اقای دکتر تشخیص اشتباه شما باعث شد درمان برادرم به عقب بیافته . برادرم سرطان داشت اما شما متوجه نشدید . تشخیص خیلی خیلی بد .,unsatisfied
عالی اما سخت,unsatisfied
دکتر بدی نیست خیلی وقت نمیذاره برا بیمار,unsatisfied
فقط در خصوص نوع بیماری اگر با مریض بیشتر صحبت کند بهتر است,unsatisfied
از دکتر مخلوق راضی نیستم,unsatisfied
کمر دردم بدتر ش,unsatisfied
عالی فقط گران,unsatisfied
دکتر مغرور منشی دروغگو پول پرست,unsatisfied
اصلا نتیجه نگرفتم,unsatisfied
دکتر خوبی هستن فقط به مریض توضیح لازم نمیدن,unsatisfied
دکتر خوبی هستند فقط نه نسبت به تعریف هایی که میشه,unsatisfied
من از دکتر وفا عبداله پور راضی نیستم .,unsatisfied
دکتر خوب ولی یکم اخمو,unsatisfied
اینکه همه نوشتن خوش برخورد من خیلی درکش نکردم البته شاید واسه شرایط الانه نمیدونم !!!!,unsatisfied
منشی غیر قابل تحمل داره . وخود خانم دکتر هم آنقدر کم حرف میزند وصدایش خیلی بی انرژی هست .,unsatisfied
با توجه به شهرت و تجربه سالها طبابت شون هم از لحاظ علمی و هم دقت انتظار خیلی بیشری ازشون داشتم,unsatisfied
پزشک . بسیار توانا . اما رفتار و برخوردش اصلا خوب نیست . برخورد منشی هم که افتضاح ! اصلا ادب از کنارش رد نشده .,unsatisfied
این آقا فوق العاده بی ادبانه و وقیح با بیماران برخورد میکنن . اخلاق تندشون نشون دهنده این امره . . . واقعا متاسفم برای ایشون . . . خیلی بداخلاقه خیلییییی,unsatisfied
راضی نیستم لوزه منو عمل کرده نمیتونم قشنگ صحبت کنم و گرفتگی صدام خیلی اذیتم می کنه,unsatisfied
سلام خیلی دکتر خوبیه ودقیق وبا اخلاق ولی مشکلش اینکه دیر نوبت میده چندتا چندتا مریض می فرسته داخل,unsatisfied
برداشتن خال بود زیاد جالب نشد,unsatisfied
با سلام بنده بیماری تیرویید داشتم و بیماری حادی نبود ولی با ویزیت ایشان درمان شدم ولی امروز باز احساس میکنم بیماری میبایست کنترل شود,unsatisfied
من بعد از یک ماه نوبت گرفتم رفتم مطب . فکر میگردم هنری داشته باشه ولی متاسفانه اصلا تحصیلات پزشکی نداره و اکثر صحبت ها و نظراتی رو که راجع به بیماری مراجعین میده غلطه و بیشتر آنها رو گمراه میکنه . من خودم پزشکم و متاسفانه آنجا در حد یک فیزیوتراپی هم برای مریض کار نمیکنه,unsatisfied
بدتر شدم . ولی خودمم کوتاهی کردم در امر درمان,unsatisfied
ریزش مو داشتم اما نتیجه ای حاصل نشده,unsatisfied
PRK پیشرفته 2 هفته اس عملکردم ولی هنوز تاری دید دارم,unsatisfied
دکتر خوبی هستن ولی خیلی مطبشون شلوغ و نوبت طولانی میشه تا 2 ساعت هم نشستم,unsatisfied
*** برا بیماراش وقت نمیزاره اصلااااا پیشنهاد نمیکنم,unsatisfied
مشکل خاصی نداشتم . فقط خانم دکتر همش هول هستن و توجهی ب صحبت بیمار ندارن و بیش از 1دقیقه برای مراجعه کننده وقت نمیگذارند,unsatisfied
بابت سنگ کلیه دختر سه ساله ام بود ولی فعلا برطرف نشده,unsatisfied
هیچکس جوابگو نیست یا مدام اشغال میزنه . ویا کسی برنمیداره,unsatisfied
اصلا واسه آدم وقت نمیزاره,unsatisfied
دکتر خوبیه فقط همیشه مطبش شلوغه,unsatisfied
9 ماه بارداری زیر نظر ایشان بودم خوب بودند ولی قبل از زایمان وزن بچه را ندیده_بودند . بچه هم درشت بود .,unsatisfied
من باره اولم بود پیش دکتر کاشانی رفتم وای اینقدر شلوغ بود داخل اتاق من اصلا نفهمیدم دکتر کدومشون,unsatisfied
بالن زدم وسه ماه یک بار میرم پیشش الان نه ماهه هرچی تماس میگیرم جواب نمیدین بله خوب بود,unsatisfied
دکترخیلی خوبیه فقط امکانات مطبش زیر صفر هست,unsatisfied
با درود آقای دکتر محمود علی کشاورز با توجه به شرایط کرونایی و اینکه من در شهرستان زندگی میکنم و توسط شما ویزیت شده_ام اما مطب به هیچ عنوان تلفنی برای نوبت دهی پاسخ نمیدهد . این هفته من ۲۱۵ بار تماس گرفته_ام و خیلی اذیت شده_ام و هرگز به تلفنم پاسخی داده نشده . ممنونم میشم رسیدگی کنید .,unsatisfied
دکتر خوبی هستن ولی هزینه هایی که بابت عمل میگیرن و فقط باید پرداخت نقدی تو مطب باشه غیرقانونیه و اصلا درست نیست .,unsatisfied
دکترخوبیه ولی خیلی راهنمایی نمیکنه,unsatisfied
با توجه به تجویز دارو و عدم سازگاری با معده نیاز به تغییر میباشد,unsatisfied
راضی نیستم . . .,unsatisfied
سلام مطب خیلی شلوغ بود چرا به تعداد زیادی وقت دادند دراین دورانه کرونا لطفا در نظر داشته باشن,unsatisfied
اخلاق خوبی ندارند ادم نمیتونه راحت صحبت کنه امیدوارم دختر منو بتونه درمان کنه,unsatisfied
دکتر خوبی هستن ولی وقت کم میگذارند برای مریض و خیلی شلوغ هست .,unsatisfied
ایشون دکتر خوبی هستن . مشکل بچه ی من بی قراری با تب بالا بود که خدارو شکر رفع شد . رفتار محترمانه دکتر و منشی قابل تشکره . بعضی جاها اصلا به حرف مراجعین گوش نمیدهند,unsatisfied
اگزمای پوست کف پاداشتم گاها شدیدبا3دوره ویزیت خوب نشدم همچنان درگیرم,unsatisfied
اصلا دکتر خوبی نیست . به هر چیز فکر میکنه جز بیمار,unsatisfied
آدرسشون که عوض شده این نیست .,unsatisfied
باسلام وعرض ادب ، اخلاق همکاران بخش شیمی درمانی مناسب نیست . من شخصاامروزبامدیریت صحبت کردم . باتشکر,unsatisfied
اصلا رفتار مناسبی با بیمار ندارند و به سوال های بیمار جواب درست حسابی نمیدهند,unsatisfied
کارش خیلی خوبه حرف نداره ولی توجهش به بیمار کمه یک روز قول عمل داده_بود نیومد,unsatisfied
برادرم پیش دکترامیر توکلی عمل دیسک ستون فقرات انجام داد خوب نبود,unsatisfied
از دکتر قدوسی راضی نیستم .,unsatisfied
آرتروز داشتم چن ماهه میرم قرصام تموم شدن بازم دردم شروع شده,unsatisfied
با سلام واقعا منشی های بی ادبی دارند .,unsatisfied
باعرض پوزش ولی واقعا یک منشی واقعا بد اخلاق برای شما در حال نوبت دهی است,unsatisfied
5ساله پیش عمل دیسک کمر شدمتا 2ماه پیش عالی بودم ولی 2 ماه درد دارم و 2 روزه که خیلی شدیده دردم,unsatisfied
بانوی مهربان هستن و هروقت رفتم پیششون دستشون خیلی خوب بوده و سربع خوب شدم فقط حیف که دارو وازمایش و سونویی که مینویسن آزاد حساب میشه,unsatisfied
دکتر خوبی هستند اما نوبت دهی برای ویزیت سخت است,unsatisfied
با سلام و تشکر از نظر خواهی_به جهت خدمات مفید پزشکی آقای دکتر کریم صادقی عالم و دانشمند هستنند و کاش بصورت توده ای ویزیت نکنند و دقیق تر عمل کنند و دایم جهت رفع تبعض نوبت دهی منشی رو عوض کنند .,unsatisfied
باسلام من پدرم مریض دکتر پزشکی مدرس هستند تنها مشکلی که داریم نوبت دهی به بیمارانی که تحت درمان خود ایشان هستن اگر مریض مشکلی در طول درمان داشته باشه نمیتونه بدون نوبت قبلی دکتر رو ببینه وو مشکلش رو بیان کنه الان در حال حاضر پدر بنده 2ماه تحت درمان ولی هر دفعه که به مشکل هادی رسیده نتونستم دکتر رو ببینم,unsatisfied
دکتر خوبی هستن ولی هنوز بعد از عمل نتیجه خاصی ندادن,unsatisfied
دکتر فقط یکم عجول هستند,unsatisfied
احساس چرک در گلو داشتم فعلا برطرف نشده,unsatisfied
با سلام ، جالبه برای من که پزشکان بیمار جدید قبول نمیکنند ولی باز هم آأرس و شماره تلفنشون رو پخش میکنن و مینویسن نوبت دهی حضوری یا تلفنی در فلان روز و فلان ساعت از روز ، خوب عزیز من اگه بیمار جدید نمیگیری توی اطلاعات سایتت بزن ، که مردم وت بزلارن بیان و بعد معطل جواب منشی شما نشن که بیمار جدید قبول نمیکنیم بیمارای قدیمی هم آبان ماه به بعد ، چه کاریه اگه فقط بیمارای قدیمی رو ویزیت میکنین اونا که نیاز ندارن خودشون رو مثل امثال من معطل کنن ، یه کمی بهتره واقع بین باشیم .,unsatisfied
ریزش سکیی . دارو دادن هیچ تاثیری نداشته,unsatisfied
تشخیصشون عالیه زیاد خوش اخلاق نیستن,unsatisfied
دکتر خوبیه ولی پیر ، شده حوصله نداره,unsatisfied
دکتر خوبیه ولی تو تماس گرفتن و نوبت گرفتن همیشه مشکل داشتیم,unsatisfied
اصلا اجازه ی صحبت به بیمار نمیدهند واحترام برای وقت بیمار قایل نیستن,unsatisfied
برای بارداری اقدام کردم ولی تا الان نتیجه نگرفتم,unsatisfied
سلام خسته نباشید با اعتراف باینکه در کار طبابت خوب شما شکی نیست ولی ارتباط شما با بیمار از نظر روحی و روانی ضعیف میباشد چه موقع ویزیت کردن بیمار چه زمان عمل جراحی چون صحبت با بیمار و گوش کردن به حرفهای وی و وقت گذاشتن در بهبودی وضع بیمار تاثیر دارد و شلوغ کردن اطراف خود و مشاغل زیاد و گرفتن تخصصهای مختلف در صورتیکه نتوان به نحو احسن به دیگران خدمت کرد چه فایده لطفا رعایت حال بیمارانیکه به شما مراجعه میکنند را رعایت فرمایید و حتی موقع عمل جراحی آن هم در بیمارستان فرمانیه مثلا و به قول خودتان فوق فوق فوق تخصصی اما ما چیزی ندیدیم باتشکر,unsatisfied
از نظر دیگران دکتر بسیار خوبی است اما من ایشان را متوسط یافتم و برای بیمار کم وقت می گذارد,unsatisfied
ایشان از همکاران خوب من هستن ولی مطبشون خیلی شلوغه و هربار کلی معطلی دارم ، خودشون و دانششون عالیه,unsatisfied
از دکتر سید حسن هاشمی راضی نیستم . . .,unsatisfied
دکتر خوبی هستند فقط نوبت جهت معاینه طولانی می دهند که امیدوارم برای معاینه اول نوبت طولانی ندهند,unsatisfied
عمل بینی انجام دادم هرروز بیشتر نفرینش میکتم ایشالله خیروخوشی نبینه ویه بیماری لاعلاج بگیره,unsatisfied
راضی نیستم ، خال صورت من برداشت یه چاله بزرگ شد ۸ بار لیزر فراکشنال کرد هیچی نشد,unsatisfied
عالی اما وقت گذاشتن کم,unsatisfied
کمر درد نتیجه خوب نبود,unsatisfied
فیستول مقعدی . نتیجه مطلوب نیست,unsatisfied
شلوغ خیلی منشی هم بی حوصله و بی اخلاق,unsatisfied
برای بارداری اقدام کردم هنوز نتیجه نگرفتم,unsatisfied
راضی نیستم .,unsatisfied
باطری داخل قلب گذاشتیم و نتیجه مادرم نمیتونه راه بره پادرد شدید داره تنگی نفس گرفته,unsatisfied
وسکولیت تاکایاسو ، 8سال هست تحت نظر دکتر هستم ومریضیم کنترل شده خداروشکر ، فقط کاش کمی بیشتر وقت بزارند چون این مریضی مثلا قلب رو هم درگیر میکنه ولی دکتر هیچ وقت به من نگفتند باید تحت نظر متخصص قلب هم باشم,unsatisfied
دکتر خوبیه ولی فقط تو مطب خودش خدماتشون خوبه تو بیمارستان اهمیت نمیدن این باعث شده دیگه مطبم نرم,unsatisfied
اونجا تو نوبت بودم دکولمان جفت اتفاق افتاد و جفت کنده شد و کل سونوگرافی به خون کشیده_شد با امبولانسمنو بردن,unsatisfied
ازنظر بهداشت راضی نبودم,unsatisfied
از شمال زنگ میزنم ولی اصلا منشی شما جواب نمیده بیش از ۵۰ بار زنگ زدم,unsatisfied
عالی بود فقط داروها گرون بود,unsatisfied
از دکتر نجف پور راضی نیستم .,unsatisfied
از دکتر محولاتی و همه ی دکترا خواهشمندیم وقت بیشتری برای بیماران بزارن و ب تمام حرف ها و سوالات والدین اهمیت بدند ، من 3ساله دارم دکترا رو میچرخم ولی از هیچکس یه جواب حسابی نگرفتم هنوز جواب آم آر ای بچمو نمیدونم چیه چون نمیگن و هیچ کدوم بیشتر از 4یا 5دیقه وقت نمیزارن . اخه این انصاف نیس ک ما اینقدر راه رو از شهرستان میریم حضور دکتر و ایشون ب سوالات ما اهمیت ندن ، ما با این هزینه های سنگین خودمونو در مطب میرسونیم تو رو خدا درک کنید,unsatisfied
دکتر خوبی است ولی دسترسی به ایشان مشگل است,unsatisfied
ازاینکه بوسیله نلفن هیچ موقع نمیتونم ارتباط برقرار کنم مشکلاتی را برمن به همراه داشته که نوبت یرم یااینکه از نوبت خود اطلاع داشته_باشم,unsatisfied
طرز برخورد ورفتار دکتر صادقی [ ] راضی کننده نیست .,unsatisfied
بستگی به نتیجه نهایی داره فعلا که زیاد راضی نیستم,unsatisfied
دکتر خوبی هستن اما باید دوره ی درمان کامل شود ، و طولانی شدن دوره هزینه ی نسبتا زیادی دارد,unsatisfied
"اقای دکتر چرا کسی جواب نمیده,خواهشن رسیدگی کنید . . .",unsatisfied
آدرس تهرانسرتون عوض شده کسی پاسخگو نیست,unsatisfied
برای بار اول که مراجعه کردم نتیجه خاصی حاصل نشده,unsatisfied
Absداشتم وخیلی بهتر شدم الان بعد دوسال میخوام دوباره برم ویزت بشم خیلی معده درد دارم,unsatisfied
ارتباط خوبی با بیمار برقرار نمیکنند,unsatisfied
سلام خواهشا در مورد جراحاتون قبلش تحقیق کنید من چند سال پیش دکتر مجتبی کلینی بینیمو عمل کرد افتضاحه افتضاح و برای ترمیمش ده میلیون باید بپردازم . این مطلب رو گزاشتم تا تحقیق کنید و به البوم اکتفا نکنید کاراشونو از نزدیک ببینید و نظر خواهی_کنید .,unsatisfied
عالی فقط شلوغه,unsatisfied
از نظر پزشکی راضی هستم اما در نوبت دهی ضعف بسیاری وجود دارد به طوریکه وقت را بسیار هدر میدهد,unsatisfied
یکم بی توجه هستن نسبت به مریضشون,unsatisfied
دکتر خوبیه فقط نوبت دهی از طریق تلفن میسر نیست,unsatisfied
دکتر خوبیه فقط وقت برای بیمارانش کم میزاره,unsatisfied
آقای دکتر برای همسرم عمل نمونه برداری از بیضه انجام دادن ولی خیلی وقته ب مطبش زنگ میزنم برنمیدارن میخوایم جواب آزمایش نمونه برداری رو نشون بدیم خییلی استرس داریم,unsatisfied
من از دکتر محمد جواد پورلک راضی نیستم,unsatisfied
حفظ حریم شخصی بیمار خیلی خوب نبود,unsatisfied
زیاد برای بیمار وقت نمیگذارند ولی تشخیصشون خوبه,unsatisfied
زیاد نمیزارن توو مطب حرف بزنیم .,unsatisfied
من از دکتر عفت خداییانی راضی نیستم .,unsatisfied
برای زانو درد پدرومادرم مراجعه کردم که ایشان نظرشان برعمل بود . . . ولی ماموافق نبودیم ودارو گرفتیم که زیاد نتیجه ای نداشت . . .,unsatisfied
کارش عالی اخلاق نداره,unsatisfied
انحراف داشتم ولی خوب نشدم,unsatisfied
دکتر خیلی خوبیه ولی شوهر من خوب نشد,unsatisfied
ب هیچ نتیجه ای نرسیدم,unsatisfied
از کلینیک سیب سرخ اصلا راضی نیستم,unsatisfied
مشکلم حل نشد,unsatisfied
